Files already downloaded and verified
Files already downloaded and verified
Training the main model (AlexNet)...
Epoch 1, Main Model Loss: 1.6788
Epoch 2, Main Model Loss: 1.3684
Epoch 3, Main Model Loss: 1.2454
Epoch 4, Main Model Loss: 1.1541
Epoch 5, Main Model Loss: 1.1109
Epoch 6, Main Model Loss: 1.0318
Epoch 7, Main Model Loss: 0.9807
Epoch 8, Main Model Loss: 0.9429
Epoch 9, Main Model Loss: 0.9136
Epoch 10, Main Model Loss: 0.8844
Epoch 11, Main Model Loss: 0.8617
Epoch 12, Main Model Loss: 0.8407
Epoch 13, Main Model Loss: 0.8014
Epoch 14, Main Model Loss: 0.8116
Epoch 15, Main Model Loss: 0.7667
Epoch 16, Main Model Loss: 0.7417
Epoch 17, Main Model Loss: 0.7173
Epoch 18, Main Model Loss: 0.7050
Epoch 19, Main Model Loss: 0.6841
Epoch 20, Main Model Loss: 0.6923
Epoch 21, Main Model Loss: 0.6433
Epoch 22, Main Model Loss: 0.6279
Epoch 23, Main Model Loss: 0.6086
Epoch 24, Main Model Loss: 0.5962
Epoch 25, Main Model Loss: 0.5791
Epoch 26, Main Model Loss: 0.5538
Epoch 27, Main Model Loss: 0.5493
Epoch 28, Main Model Loss: 0.5324
Epoch 29, Main Model Loss: 0.5063
Epoch 30, Main Model Loss: 0.5372
Epoch 31, Main Model Loss: 0.4658
Epoch 32, Main Model Loss: 0.4680
Epoch 33, Main Model Loss: 0.4480
Epoch 34, Main Model Loss: 0.4378
Epoch 35, Main Model Loss: 0.4297
Epoch 36, Main Model Loss: 0.4115
Epoch 37, Main Model Loss: 0.4085
Epoch 38, Main Model Loss: 0.3901
Epoch 39, Main Model Loss: 0.3956
Epoch 40, Main Model Loss: 0.3613
Time taken to train main model: 2949.93 seconds
Training auxiliary models...
Epoch 1, conv1 Loss: 1.4993, conv2 Loss: 1.3246, conv3 Loss: 1.0913, conv4 Loss: 0.9793, conv5 Loss: 0.8318
Epoch 2, conv1 Loss: 1.2066, conv2 Loss: 1.0798, conv3 Loss: 0.7317, conv4 Loss: 0.5319, conv5 Loss: 0.2386
Epoch 3, conv1 Loss: 1.1058, conv2 Loss: 0.9364, conv3 Loss: 0.4643, conv4 Loss: 0.2172, conv5 Loss: 0.0427
Epoch 4, conv1 Loss: 1.0317, conv2 Loss: 0.8127, conv3 Loss: 0.2477, conv4 Loss: 0.0703, conv5 Loss: 0.0085
Epoch 5, conv1 Loss: 0.9696, conv2 Loss: 0.7066, conv3 Loss: 0.1223, conv4 Loss: 0.0331, conv5 Loss: 0.0022
Epoch 6, conv1 Loss: 0.9095, conv2 Loss: 0.6160, conv3 Loss: 0.0773, conv4 Loss: 0.0416, conv5 Loss: 0.0181
Epoch 7, conv1 Loss: 0.8548, conv2 Loss: 0.5201, conv3 Loss: 0.0606, conv4 Loss: 0.0614, conv5 Loss: 0.0525
Epoch 8, conv1 Loss: 0.8047, conv2 Loss: 0.4515, conv3 Loss: 0.0809, conv4 Loss: 0.0403, conv5 Loss: 0.0361
Epoch 9, conv1 Loss: 0.7555, conv2 Loss: 0.3866, conv3 Loss: 0.0589, conv4 Loss: 0.0297, conv5 Loss: 0.0091
Epoch 10, conv1 Loss: 0.7146, conv2 Loss: 0.3321, conv3 Loss: 0.0441, conv4 Loss: 0.0343, conv5 Loss: 0.0026
Time taken to train auxiliary models: 755.19 seconds
Evaluating models...

Class-wise accuracy for main:
Class 0 (airplane): 83.70%
Class 1 (automobile): 86.60%
Class 2 (bird): 57.10%
Class 3 (cat): 65.00%
Class 4 (deer): 66.90%
Class 5 (dog): 51.00%
Class 6 (frog): 79.40%
Class 7 (horse): 83.40%
Class 8 (ship): 75.20%
Class 9 (truck): 86.00%

Class-wise accuracy for conv1:
Class 0 (airplane): 65.00%
Class 1 (automobile): 73.30%
Class 2 (bird): 42.70%
Class 3 (cat): 33.00%
Class 4 (deer): 45.60%
Class 5 (dog): 48.40%
Class 6 (frog): 67.80%
Class 7 (horse): 56.40%
Class 8 (ship): 58.10%
Class 9 (truck): 59.20%

Class-wise accuracy for conv2:
Class 0 (airplane): 62.80%
Class 1 (automobile): 71.30%
Class 2 (bird): 42.30%
Class 3 (cat): 38.70%
Class 4 (deer): 48.20%
Class 5 (dog): 46.20%
Class 6 (frog): 65.50%
Class 7 (horse): 64.40%
Class 8 (ship): 70.80%
Class 9 (truck): 67.70%

Class-wise accuracy for conv3:
Class 0 (airplane): 71.90%
Class 1 (automobile): 77.50%
Class 2 (bird): 51.80%
Class 3 (cat): 41.80%
Class 4 (deer): 61.00%
Class 5 (dog): 56.10%
Class 6 (frog): 75.30%
Class 7 (horse): 66.60%
Class 8 (ship): 78.20%
Class 9 (truck): 76.80%

Class-wise accuracy for conv4:
Class 0 (airplane): 71.80%
Class 1 (automobile): 84.20%
Class 2 (bird): 57.70%
Class 3 (cat): 44.50%
Class 4 (deer): 61.80%
Class 5 (dog): 50.90%
Class 6 (frog): 74.40%
Class 7 (horse): 74.80%
Class 8 (ship): 77.10%
Class 9 (truck): 72.00%

Class-wise accuracy for conv5:
Class 0 (airplane): 73.10%
Class 1 (automobile): 81.80%
Class 2 (bird): 54.10%
Class 3 (cat): 50.30%
Class 4 (deer): 60.60%
Class 5 (dog): 57.20%
Class 6 (frog): 75.70%
Class 7 (horse): 72.10%
Class 8 (ship): 79.70%
Class 9 (truck): 79.50%
