Training the model...
Epoch 1, Loss: 0.2789
Epoch 2, Loss: 0.0798
Epoch 3, Loss: 0.0563
Epoch 4, Loss: 0.0448
Epoch 5, Loss: 0.0371
Epoch 6, Loss: 0.0328
Epoch 7, Loss: 0.0280
Epoch 8, Loss: 0.0251
Epoch 9, Loss: 0.0228
Epoch 10, Loss: 0.0199
Epoch 11, Loss: 0.0168
Epoch 12, Loss: 0.0151
Epoch 13, Loss: 0.0144
Epoch 14, Loss: 0.0139
Epoch 15, Loss: 0.0092
Epoch 16, Loss: 0.0120
Epoch 17, Loss: 0.0108
Epoch 18, Loss: 0.0099
Epoch 19, Loss: 0.0091
Epoch 20, Loss: 0.0081
Epoch 21, Loss: 0.0081
Epoch 22, Loss: 0.0080
Epoch 23, Loss: 0.0071
Epoch 24, Loss: 0.0069
Epoch 25, Loss: 0.0077
Testing the model...
Accuracy at conv1: 10.60%
Accuracy at pool1: 10.60%
Accuracy at conv2: 10.00%
Accuracy at pool2: 10.00%
Accuracy at fc1: 2.95%
Accuracy at fc2: 0.82%
Accuracy at fc3: 98.91%
